etikett,dv,n,verworfen,ereignisse,staaten,beta,se,p,p0,p1,rel
"HAUPTMODELL  Initiierung (GML), t+1",gml_init_f1,3029,109,299,110,-0.34733085440602607,0.21940147016553213,0.11340242646997217,0.0987124463519313,0.07531394308922948,-23.703701131345763
R1 andere Gruppenabgrenzung (polyarchy),gml_init_f1,3036,109,300,110,-0.3459993927376788,0.21815339881789073,0.11273088479733867,0.09881422924901181,0.07545897387574275,-23.6355184377483
R2a jede Beteiligung statt Initiierung,gml_teiln_f1,3045,93,708,110,-0.2788020256542391,0.1689285587943555,0.09885832928741076,0.23251231527093597,0.19680890392843362,-15.355492590101646
R2b nur Gewaltanwendung/Krieg,gml_gewalt_f1,3008,130,200,110,-0.3621665732330318,0.24740524139722495,0.1432322746184964,0.06648936170212766,0.049171213932046265,-26.046494246202418
R3 COW MID statt GML,cow_init_f1,3122,16,359,110,-0.2928589056147289,0.23101549116304376,0.20490422726057733,0.11499039077514414,0.09242203342439005,-19.626298509485867
R4 Machtanteil statt Großmachtstatus,gml_init_f1,3029,109,299,110,-0.3448176981677554,0.2049807465960139,0.0925309282591508,0.09871244635193137,0.07596020174593318,-23.049013013902503
Z1 Jahrestrend statt Jahres-Fixeffekte,gml_init_f1,3138,0,299,110,-0.34066316057950713,0.2007298847252946,0.08967354389421445,0.09528362014021674,0.07224558901566894,-24.17837514007725
Z2 ohne Kontrollen,gml_init_f1,3029,109,299,110,-0.30790394154167555,0.12906960086806887,0.017052901667832753,0.09871244635193133,0.07508980023283475,-23.93076759021523
